scan_id,frame_id,variant,q_vessel,q_tail,ratio_tail_to_vessel,q_tail_direct_check,source_area_um2,tail_area_um2,requested_tail_area_um2,source_mean,tail_window_complete,source_window_complete,source_qc_valid,background_complete,background_excluded_side,valid,invalid_reason,tail_gap_um,requested_tail_length_um,lateral_width_um,x_left_edge_px,x_right_edge_px,z_top_edge_px,diameter_um,dx_um,dz_um,z_bottom_edge_px,frame_index_0based,bscan_index_matlab_1based,primary_valid,localization_source
flow01,flow01_Bscan000,x_minus_1px,2119335628553.879,1306220922032.0647,0.6163350931458459,1306220922032.0647,15321.185742187501,76199.99999999999,76199.99999999999,138327128.4753244,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,222.87922012319203,234.87922012319203,213.5,128.0,12.7,6.7,232.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan000,x_plus_1px,2239085617616.3286,1482809169451.5068,0.6622387093129857,1482809169451.507,15321.185742187501,76199.99999999999,76199.99999999999,146143102.45263305,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,224.87922012319203,236.87922012319203,213.5,128.0,12.7,6.7,232.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan000,z_minus_1px,2192662667363.8984,1425707284953.7063,0.6502173390254076,1425707284953.706,15321.185742187501,76199.99999999999,76199.99999999999,143113118.2834181,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.87922012319203,235.87922012319203,212.5,128.0,12.7,6.7,231.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan000,z_plus_1px,2242830772930.4395,1332422161359.4443,0.5940805599071245,1332422161359.4446,15321.185742187501,76199.99999999999,76199.99999999999,146387545.36828795,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.87922012319203,235.87922012319203,214.5,128.0,12.7,6.7,233.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan000,background_skip_plus_2px,2264728077828.126,1361750849531.1067,0.6012866899398472,1361750849531.1064,15321.185742187501,76199.99999999999,76199.99999999999,147816762.7452036,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.87922012319203,235.87922012319203,213.5,128.0,12.7,6.7,232.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan249,x_minus_1px,2385810414541.763,1123695604304.8098,0.470991155649153,1123695604304.8098,16597.868125,82549.99999999999,82550.0,143741979.18515894,True,True,True,True,,True,ok,0.0,500.0,165.1,230.858028233871,243.858028233871,198.5,128.0,12.7,6.7,217.6044776119403,249,250,True,direct_candidate_supported
flow01,flow01_Bscan249,x_plus_1px,2536793014689.2217,1303435621756.103,0.5138123663257503,1303435621756.1033,16597.868125,82549.99999999999,82550.0,152838484.77312934,True,True,True,True,,True,ok,0.0,500.0,165.1,232.858028233871,245.858028233871,198.5,128.0,12.7,6.7,217.6044776119403,249,250,True,direct_candidate_supported
flow01,flow01_Bscan249,z_minus_1px,2469323612687.7324,1331328836284.7446,0.5391471694694813,1331328836284.7449,16597.868125,82549.99999999999,82550.0,148773540.92049894,True,True,True,True,,True,ok,0.0,500.0,165.1,231.858028233871,244.858028233871,197.5,128.0,12.7,6.7,216.6044776119403,249,250,True,direct_candidate_supported
flow01,flow01_Bscan249,z_plus_1px,2557042795671.8423,1143889223057.922,0.44734848591275705,1143889223057.9219,16597.868125,82549.99999999999,82550.0,154058507.78030822,True,True,True,True,,True,ok,0.0,500.0,165.1,231.858028233871,244.858028233871,199.5,128.0,12.7,6.7,218.6044776119403,249,250,True,direct_candidate_supported
flow01,flow01_Bscan249,background_skip_plus_2px,2518641218457.138,1345725390441.609,0.5343061094132214,1345725390441.609,16597.868125,82549.99999999999,82550.0,151744862.62265915,True,True,True,True,,True,ok,0.0,500.0,165.1,231.858028233871,244.858028233871,198.5,128.0,12.7,6.7,217.6044776119403,249,250,True,direct_candidate_supported
flow03,flow03_Bscan000,x_minus_1px,1910167981829.2498,1185241949756.0105,0.6204909521208588,1185241949756.0107,15320.188593750001,76199.99999999999,76199.99999999999,124683059.22869113,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,227.143405172141,239.143405172141,209.5,128.0,12.7,6.7,228.6044776119403,0,1,True,direct_candidate_supported
flow03,flow03_Bscan000,x_plus_1px,1915552788283.7366,1331616187742.6804,0.6951602669930901,1331616187742.6804,15320.188593750001,76199.99999999999,76199.99999999999,125034543.57377835,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,229.143405172141,241.143405172141,209.5,128.0,12.7,6.7,228.6044776119403,0,1,True,direct_candidate_supported
flow03,flow03_Bscan000,z_minus_1px,1780521926330.8323,1307563412068.5776,0.7343708565067253,1307563412068.5776,15320.188593750001,76199.99999999999,76199.99999999999,116220627.14405559,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,228.143405172141,240.143405172141,208.5,128.0,12.7,6.7,227.6044776119403,0,1,True,direct_candidate_supported
flow03,flow03_Bscan000,z_plus_1px,1974710367815.5127,1153576934429.944,0.5841752558913577,1153576934429.944,15320.188593750001,76199.99999999999,76199.99999999999,128895956.8435804,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,228.143405172141,240.143405172141,210.5,128.0,12.7,6.7,229.6044776119403,0,1,True,direct_candidate_supported
flow03,flow03_Bscan000,background_skip_plus_2px,1971995482285.7747,1193509970791.7842,0.60522956645335,1193509970791.7844,15320.188593750001,76199.99999999999,76199.99999999999,128718747.17588443,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,228.143405172141,240.143405172141,209.5,128.0,12.7,6.7,228.6044776119403,0,1,True,direct_candidate_supported
